Xi0_hMpc2,chi2_log,dof,chi2_dof,delta_chi2_vs_best,delta_chi2_vs_zero
0.0,5184.657141793221,450,11.521460315096046,3882.430331966521,0.0
9.999999999999999e-11,5184.651602968112,450,11.521448006595804,3882.4247931414116,-0.005538825109397294
1.076374673044854e-10,5184.651179942319,450,11.521447066538487,3882.424370115619,-0.005961850902167498
1.1585824367724166e-10,5184.650724608093,450,11.52144605468465,3882.423914781393,-0.0064171851281571435
1.24706879157642e-10,5184.6502344978935,450,11.521444965550874,3882.4234246711935,-0.0069072953274371685
1.3423132627975048e-10,5184.649706955724,450,11.52144379323494,3882.4228971290236,-0.0074348374973851605
1.4448319993674355e-10,5184.649139122734,450,11.521442531383853,3882.4223292960337,-0.008002670487258001
1.5551805709238662e-10,5184.6485279217295,450,11.521441173159399,3882.4217180950295,-0.00861387149143411
1.673956978553886e-10,5184.647870040503,450,11.521439711201118,3882.4210602138032,-0.009271752717722848
1.8018048954820907e-10,5184.6471619138765,450,11.521438137586392,3882.4203520871765,-0.0099798793444279
1.939417155265153e-10,5184.646399704383,450,11.521436443787518,3882.419589877683,-0.010742088838014752
2.0875395063961014e-10,5184.6455792814695,450,11.521434620625488,3882.4187694547695,-0.011562511751435522
2.24697465366532e-10,5184.6446961991205,450,11.521432658220268,3882.4178863724205,-0.012445594100427115
2.418586608179083e-10,5184.64374567176,450,11.521430545937246,3882.4169358450604,-0.01339612146057334
2.6033053696094225e-10,5184.642722548314,450,11.521428272329587,3882.415912721614,-0.014419244907003304
2.802131966049255e-10,5184.641621284299,450,11.52142582507622,3882.4148114575987,-0.015520508922236331
3.016143878784801e-10,5184.640435911776,450,11.521423190915058,3882.413626085076,-0.016705881444977422
3.246500881383228e-10,5184.639160007021,450,11.521420355571157,3882.412350180321,-0.01798178619992541
3.4944513247386884e-10,5184.6377866556895,450,11.52141730367931,3882.4109768289895,-0.01935513753142004
3.761338902136763e-10,5184.636308415371,450,11.521414018700824,3882.409498588671,-0.020833377850067336
4.0486099309983484e-10,5184.634717275245,450,11.521410482833877,3882.407907448545,-0.022424517976105562
4.3578211907644964e-10,5184.633004612678,450,11.521406676917062,3882.4061947859777,-0.024137180543220893
4.690648359397071e-10,5184.631161146487,450,11.521402580325526,3882.404351319787,-0.02598064673384215
5.048895094214404e-10,5184.629176886659,450,11.521398170859241,3882.4023670599586,-0.02796490656237438
5.434502806272775e-10,5184.627041080201,450,11.52139342462267,3882.400231253501,-0.03010071302014694
5.849561181263199e-10,5184.62474215288,450,11.521388315895289,3882.3979323261797,-0.032399640341282065
6.296319503938047e-10,5184.622267646496,450,11.521382816992213,3882.395457819796,-0.034874146725087485
6.777198847437253e-10,5184.619604151375,450,11.521376898114166,3882.392794324675,-0.037537641846029146
7.294805193570234e-10,5184.616737233709,450,11.521370527186019,3882.3899274070086,-0.040404559512353444
7.851943555155064e-10,5184.613651357323,450,11.52136366968294,3882.386841530623,-0.04349043589809298
8.451633176946681e-10,5184.610329799509,450,11.521356288443352,3882.3835199728087,-0.04681199371225375
9.097123897530988e-10,5184.606754560387,450,11.521348343467528,3882.3799447336874,-0.05038723283360014
9.791913760853445e-10,5184.602906265389,450,11.521339791700864,3882.376096438689,-0.05423552783213381
1.0539767972822035e-09,5184.598764060247,450,11.521330586800548,3882.371954233547,-0.058377732973895036
1.1344739305714942e-09,5184.594305498006,450,11.521320678884457,3882.367495671306,-0.06283629521476541
1.2211190060968024e-09,5184.589506417396,450,11.521310014260878,3882.3626965906956,-0.06763537582537538
